Name,Borough,askingRent
Prospect Lefferts Gardens,Brooklyn,2999
Prospect Park,Brooklyn,3663
Prospect Park South,Brooklyn,2775
Queens,Queens,3100
Queens Village,Queens,
Red Hook,Brooklyn,4050
Rego Park,Queens,2995
Richmond Hill,Queens,1950
Ridgewood,Queens,3400
Riverdale,Bronx,2800
Rockaway All,Queens,2600
Roosevelt Island,Manhattan,4500
Rosedale,Queens,
Schuylerville,Bronx,
Seagate,Brooklyn,
Sheepshead Bay,Brooklyn,2699
Soho,Manhattan,6491
Soundview,Bronx,2800
South Brooklyn,Brooklyn,2800
South Jamaica,Queens,
South Ozone Park,Queens,
South Queens,Queens,2700
South Richmond Hill,Queens,
Springfield Gardens,Queens,
St. Albans,Queens,
Staten Island,Staten Island,2500
Stuyvesant Town/PCV,Manhattan,5050
Sunnyside,Queens,2735
Sunset Park,Brooklyn,2400
The Rockaways,Queens,2600
Throgs Neck,Bronx,
Tremont,Bronx,2150
Tribeca,Manhattan,10000
University Heights,Bronx,1999
Upper East Side,Manhattan,3900
Upper West Side,Manhattan,4400
Utopia,Queens,
Van Nest,Bronx,
Wakefield,Bronx,
Washington Heights,Manhattan,2750
West Harlem,Manhattan,3500
West Village,Manhattan,5250
Westchester Village,Bronx,
Whitestone,Queens,2800
Williamsbridge,Bronx,
Williamsburg,Brooklyn,4531
Windsor Terrace,Brooklyn,3680
Woodhaven,Queens,2800
Woodlawn,Bronx,
Woodside,Queens,2781
Woodstock,Bronx,
